Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMB,HML,Mkt-RF
200204,-10.127,-0.4352,1.6647,3.8777,5.4105,-4.7907,0.3641,3.7803,3.8026,4.6109,-4.986,0.9571,1.8936,0.9981,0.7077,-3.0262,-0.1053,-0.2067,-2.3516,0.734,-8.0486,-2.9323,1.4302,-2.1161,-22.1472,5.96,3.88,-5.2
200205,-6.9846,-5.6717,-3.3888,1.3578,0.1811,-7.8823,-4.3445,-4.6805,-3.2765,-6.3007,-5.7578,-2.8658,-3.9109,-3.2029,-1.9329,-3.0356,-0.3938,-0.9545,-1.2289,0.595,-1.3613,0.4382,0.4415,0.9552,-7.7067,-3.21,1.53,-1.38
200206,-8.7519,-7.4215,-1.2412,1.0926,-1.0665,-7.9425,-4.3149,-2.6064,-1.8267,-2.8798,-7.5356,-7.7003,-4.7403,-5.4735,-7.2083,-9.6673,-6.4504,-7.2855,-5.9785,-8.2499,-7.5712,-4.7392,-6.3206,-10.0315,-13.5638,4.29,-0.03,-7.21
200207,-19.563,-15.6682,-14.9011,-11.4293,-12.2963,-15.9856,-17.145,-13.7814,-15.2183,-19.6824,-9.3687,-9.1214,-11.926,-12.2712,-17.3659,-9.8185,-8.7942,-8.9508,-12.4606,-19.0324,-5.4976,-10.0688,-7.1734,-10.5376,-14.6754,-5.28,-3.85,-8.18
200208,-0.2274,-0.4632,-2.5697,-1.0501,-1.677,0.3019,0.1469,-0.307,1.1018,-0.3894,0.7302,-0.4245,2.5264,1.5994,2.3711,-1.2479,-0.1065,1.3283,0.1328,6.6776,-0.1863,1.0277,1.7884,5.3369,8.3212,-2.86,3.29,0.5
200209,-11.3003,-7.9325,-8.1403,-7.1066,-6.6865,-7.9183,-6.7908,-5.8362,-7.3826,-9.5377,-7.6354,-8.9238,-9.5306,-7.8763,-9.0209,-8.7554,-8.6108,-11.8737,-11.3283,-21.2864,-11.0737,-11.3171,-9.0775,-8.5191,-6.1906,2.4,1.47,-10.35
200210,5.9893,4.6416,2.7948,2.0693,1.0317,10.8565,2.6419,4.2863,1.713,-1.4999,7.313,2.8138,5.4153,3.4039,0.9082,6.7665,4.751,3.6437,3.6075,4.0574,10.3631,7.2992,4.6586,5.9064,14.1328,-3.4,-3.94,7.84
200211,17.7762,12.4778,10.2655,8.4069,9.5902,13.167,11.2771,7.2814,5.8721,8.7893,9.2992,7.7305,6.6849,5.3116,11.7122,10.034,7.6507,7.678,8.0688,15.4552,4.9489,6.2872,4.3787,6.0597,7.0492,3.19,-1.21,5.96
200212,-9.8802,-5.728,-5.1719,-2.642,-2.5892,-10.2725,-7.4953,-4.4374,-3.5821,-3.2475,-7.2385,-4.5374,-2.7181,-3.7771,-6.7036,-6.7973,-5.1725,-2.4339,-4.2948,-1.4202,-6.322,-6.2175,-3.3457,-3.7002,-9.7387,0.09,2.14,-5.76
200301,-0.1592,-0.449,-2.3631,-0.6771,0.3247,-3.4508,-3.2405,-3.1983,-1.4448,-2.6907,-1.521,-4.1131,-3.3787,-3.7655,-2.6316,-1.2214,-3.4769,-0.3085,-2.3987,-6.1094,-2.8603,-2.6331,-1.1319,-5.1344,-5.5856,1.35,-0.81,-2.57
200302,-6.0764,-3.2423,-2.3259,-1.5035,-2.1996,-2.8834,-1.6553,-2.4285,-2.805,-5.7188,-4.2018,-0.9847,-2.2623,-3.9608,-2.6721,-2.8762,-1.8095,-1.8555,-1.5304,-6.5248,-1.0956,-2.6775,-2.4003,-3.5007,-4.9207,-0.45,-1.38,-1.88
200303,2.0811,1.1416,0.5073,1.9322,0.0715,1.7804,1.4532,0.6715,1.5749,-0.2233,2.884,0.7113,-0.2481,-0.5758,3.6273,1.289,-0.3902,0.6071,2.2138,-4.8151,1.7442,0.5252,0.8746,-0.854,-2.9499,1.03,-1.91,1.09
200304,12.2847,10.9242,8.2291,7.534,9.5539,10.8162,9.3857,9.1129,9.7428,10.1677,8.4202,8.5876,10.7788,11.6917,10.1751,9.1371,7.1012,9.4932,8.9054,8.6874,7.447,9.4527,8.6906,8.9009,14.8181,0.66,1.17,8.22
200305,20.52,15.2038,11.1546,10.7553,11.357,13.4848,9.7379,11.123,10.1107,11.0946,8.4588,9.0362,9.6865,9.7225,9.2316,9.6193,10.4206,7.8212,10.5945,9.2333,4.2861,6.6074,6.7321,6.7687,7.8462,4.74,0.5,6.05
200306,6.8129,4.4261,4.5927,4.2601,5.8712,1.7563,0.6312,1.4314,2.2742,3.6085,2.6958,1.5098,0.3545,1.4085,1.9512,1.0999,1.0476,0.0245,-1.3795,8.7124,1.1128,2.2063,2.0784,-0.9167,3.6636,1.77,0.15,1.42
200307,8.7924,8.4028,8.35,9.0959,7.9769,8.2126,5.0609,5.8709,6.5346,8.0517,7.6389,4.629,1.2928,4.6108,3.9978,3.7976,3.9031,2.7388,5.0073,2.1653,1.0665,4.2174,1.8626,-0.5981,1.6279,5.05,-1.24,2.35
200308,4.3774,5.0151,3.5862,4.6724,6.4823,4.3711,3.3479,5.4589,4.8171,6.5487,4.2698,4.0481,4.8811,7.5928,8.0843,5.0961,3.6769,3.8421,4.8897,9.2576,2.0641,0.0949,2.099,2.2946,1.3196,2.59,1.54,2.34
200309,3.5937,0.2536,-0.1653,2.1949,4.9948,-2.4639,-2.121,-2.6457,-3.9164,-0.9769,-1.9101,-3.3016,-2.065,-1.3074,-0.9555,-1.6376,-2.4148,-0.6853,-1.1529,0.4039,-0.9413,-0.7614,-1.0741,-2.1692,-4.5544,0.8,0.15,-1.24
200310,6.1583,8.7912,7.8347,10.6208,11.5592,8.6711,8.235,6.7892,10.1592,11.0873,9.1468,6.7657,5.8345,11.2267,12.6661,8.0463,8.2151,7.7909,9.6515,8.2628,4.128,7.6998,8.0699,6.0801,2.7791,2.69,1.97,6.08
200311,2.8587,3.105,5.2491,3.8142,6.6499,2.5258,3.7944,3.0281,3.6467,4.0656,3.5126,3.2407,2.2579,4.9848,2.5717,1.3162,2.8953,3.6682,3.4432,4.4445,0.8379,0.2723,2.0909,0.2782,3.2206,2.07,1.78,1.35
200312,0.2317,2.8209,3.1916,1.3799,3.9972,2.1419,1.8503,3.2207,2.4817,2.3221,-0.7861,2.8276,4.505,2.0631,5.7817,0.8553,3.4882,2.4419,4.9546,3.0767,4.8849,5.7132,3.6603,6.3944,4.7758,-2.68,1.61,4.29
