date,T_BILL_3_MO,SP_CONSUM_DIS,SP_HEALTH,SP_TELE_COMM,SP_FINANCE,SP_UTIL,SP_500,SP_CONSUM_STAPLE,SP_MATERIALS,SP_INFO_TECH,SP_ENEGY
20050201,0.0269,-0.00512646,0.028956469,0.00645483,-0.007620275,0.016769442,0.018903346,0.000918253,0.075791708,-0.000256251,0.182851524
20050301,0.0272,-0.012901015,-0.005874819,-0.017324623,-0.040250962,0.007837587,-0.019117656,-0.010967887,-0.028180843,-0.023223782,-0.036414935
20050401,0.0284,-0.064700486,0.033525526,0.00127135,-0.001699508,0.029145235,-0.020108582,-0.011975022,-0.070231223,-0.03866454,-0.053091066
20050501,0.0288,0.058461625,0.007949143,0.012105311,0.025719618,-0.001905569,0.029952047,0.020058027,-0.011594203,0.076311639,0.013626232
20050601,0.0306,-0.0016165,-0.004150755,0.012796912,0.012154354,0.054904621,-0.000142714,-0.019998321,-0.020000021,-0.017717334,0.057780722
20050701,0.0333,0.055399184,0.022813136,0.031299042,0.013143599,0.020469288,0.035968287,0.030993828,0.052785969,0.058208497,0.057014595
20050801,0.0343,-0.035103797,-0.005569257,-0.034673241,-0.020119564,0.004586595,-0.011222105,-0.01552795,-0.043488198,-0.003079581,0.05096098
20050901,0.0347,-0.029301497,-0.006201561,-0.015180438,0.00808097,0.037499167,0.006949024,0.011440594,0.005467718,0.002599711,0.059956461
20051001,0.0381,-0.020163013,-0.030238888,-0.020805266,0.0297706,-0.064366523,-0.01774078,-0.004324899,0.005260756,-0.02202563,-0.093920198
20051101,0.0386,0.037971633,0.007738785,0.049118272,0.042667235,-0.006835642,0.035186097,0.007183733,0.070735569,0.063322787,0.013469273
20051201,0.0398,-0.009164752,0.033755274,-0.037143316,0.001079944,0.008145536,-0.000952349,-0.004063843,0.027567209,-0.029541209,0.004798487
20060101,0.0437,0.017183218,0.014013589,0.03244484,0.007340537,0.023424716,0.025466771,-0.001748754,0.046761438,0.031710016,0.138518426
20060201,0.0451,0.006087609,0.007728445,0.065572457,0.017787674,0.006670818,0.000453158,0.009676777,-0.021493805,-0.00995985,-0.081440284
20060301,0.0451,0.003441378,-0.012968325,0.030575098,0.000686305,-0.04918239,0.01109581,0.001858954,0.04278408,0.01801934,0.038429993
20060401,0.0465,0.012700668,-0.032185811,-0.029142293,0.040598877,0.014130478,0.005932995,0.006143783,0.035374723,-0.011509596,0.051138921
20060501,0.0472,-0.016151228,-0.022607576,-0.030094321,-0.039366409,0.011285501,-0.030916917,0.0048359,-0.043202955,-0.071684812,-0.031799376
20060601,0.0486,-0.003518169,0.000199667,0.04690115,-0.007226334,0.021197065,0.000118029,0.011949886,-0.001010214,-0.016786988,0.020390809
20060701,0.0493,-0.033864838,0.053979277,0.042209473,0.023599341,0.048168494,0.005196585,0.018015482,-0.034935986,-0.037755302,0.049625277
20060801,0.0491,0.018744123,0.026838411,0.011477501,0.007835216,0.023064776,0.019780464,0.035947651,0.026980269,0.082624679,-0.040706221
20060901,0.0476,0.063992271,0.014175067,0.03996819,0.040658538,-0.01890118,0.024581934,-0.00351593,-0.002397598,0.03989113,-0.027907081
20061001,0.0494,0.064351234,0.004182649,0.034609742,0.022691671,0.05321185,0.031531192,0.018293342,0.058754375,0.041156169,0.044630233
20061101,0.0489,0.009980559,-0.005381535,-0.003291397,0.002688057,0.018845042,0.016599404,-0.010771262,0.041996919,0.031617752,0.080560329
20061201,0.0489,0.021652659,0.011211398,0.04562602,0.037385344,0.009194225,0.012615783,0.021891418,0.004406089,-0.013593963,-0.019015391
20070101,0.0497,0.027664999,0.030574441,0.030937823,0.007534462,-0.003751405,0.014252139,0.018518523,0.044938091,0.015690337,-0.018483993
20070201,0.0499,-0.030358559,-0.025122359,-0.006689541,-0.031926582,0.048390599,-0.021614909,-0.017267244,0.020287277,-0.031559121,-0.022948422
20070301,0.0489,-0.006262059,0.001972409,0.038645514,-0.008602513,0.038866314,0.009994268,0.015076454,0.016764904,0.005421738,0.060755922
20070401,0.0472,0.02493919,0.070971975,0.00066659,0.039790069,0.0413166,0.04331274,0.031758852,0.01925776,0.054038737,0.052075027
20070501,0.0459,0.026706976,0.013105803,0.095984923,0.019807368,0.004508766,0.032549229,0.013542325,0.054591806,0.036754789,0.072430764
20070601,0.0467,-0.017981015,-0.035990358,-0.02678665,-0.042564916,-0.052960327,-0.017816323,-0.021953704,-0.008090717,0.006298908,0.017205995
20070701,0.0481,-0.058283057,-0.044082048,-0.028886053,-0.083464958,-0.038180905,-0.0328247,-0.023847201,-0.022870856,-0.00455936,0.007060448
20070801,0.0399,0.002396317,0.022739439,-0.00075964,0.012735865,0.018341467,0.012926192,0.024687352,-0.007002771,0.027429888,0.005436242
20070901,0.037,-0.009801226,0.029361721,0.04456398,0.019957563,0.033175115,0.035815111,0.04161429,0.076424907,0.037603245,0.080395259
20071001,0.0382,6.89E-05,0.018563025,-0.014668804,-0.01989257,0.066096949,0.014463504,0.016580481,0.039963307,0.071340107,0.010337121
20071101,0.0307,-0.058354933,0.008587596,-0.072504173,-0.079543131,0.00166922,-0.04182329,0.028551025,-0.050954301,-0.080931602,-0.039816202
20071201,0.0314,-0.049445116,-0.031006801,0.030815407,-0.05722809,0.000648235,-0.007616782,-0.012429182,0.008734811,0.014742087,0.072929439
20080101,0.0187,-0.013100581,-0.048688778,-0.098835078,-0.005385166,-0.069640475,-0.060913999,-0.05328523,-0.040033852,-0.125002994,-0.109262994
20080201,0.0178,-0.040799641,-0.025436354,-0.095957281,-0.114315744,-0.053118436,-0.034796149,-0.00257445,0.018566002,-0.041483872,0.066610754
20080301,0.0127,-0.009484985,-0.049777434,0.048949456,-0.030710413,0.014291645,-0.005825097,0.029700847,-0.013345929,0.009154035,-0.02666987
20080401,0.0134,0.042291762,0.014218811,0.038597978,0.063426594,0.052061766,0.044616619,-0.003845873,0.053267921,0.069066566,0.108652314
20080501,0.0185,0.004692624,0.016998254,0.033480649,-0.062872751,0.029663961,0.010397075,0.012823168,0.046141579,0.054535194,0.031639319
20080601,0.0171,-0.122463384,-0.047294044,-0.115848063,-0.186653834,-0.010624048,-0.085466052,-0.067558388,-0.057251486,-0.092633626,0.022440367
20080701,0.0163,0.004249215,0.049509104,-0.068078617,0.069003819,-0.062735808,-0.007292246,0.032598352,-0.04138171,-0.012656124,-0.139938635
20080801,0.0169,0.070283264,0.017310439,0.035700311,-0.013131131,-0.018527179,0.01056381,0.025135278,-0.028177477,0.020179645,-0.008363654
20080901,0.009,-0.07881586,-0.063281138,-0.126945623,-0.052207724,-0.11662632,-0.094321436,-0.016139123,-0.172399579,-0.135036499,-0.119984895
20081001,0.0044,-0.192677988,-0.117499226,-0.095225647,-0.227361752,-0.118690491,-0.167862113,-0.110706079,-0.221457761,-0.178070783,-0.180116509
20081101,0.0002,-0.097805406,-0.07183299,0.064206077,-0.187347616,0.024314509,-0.07477262,-0.020143431,-0.112192648,-0.114365691,0.003987975
20081201,0.0012,0.051256656,0.066159032,0.008851117,-0.006825559,-0.02459456,0.016475186,-0.007604101,-0.007573594,0.016799728,-0.04057711
20090101,0.0022,-0.106375382,-0.01292783,-0.110564,-0.264475527,-0.008247049,-0.085394064,-0.076623729,-0.072388977,-0.03075797,-0.031603446
20090201,0.0025,-0.086933566,-0.12841754,-0.028384497,-0.184142613,-0.129507237,-0.106914186,-0.072400732,-0.088458835,-0.043038982,-0.124552318
20090301,0.002,0.120179436,0.063300672,0.059152586,0.176569455,0.020985047,0.09361677,0.035499597,0.149303859,0.120831643,0.037064126
20090401,0.0013,0.185311884,-0.008097053,0.022300458,0.222054041,0.004218138,0.099824806,0.030492813,0.151698885,0.120419949,0.048133556
20090501,0.0013,-0.022015113,0.056856708,-0.027650206,0.107924074,0.022987586,0.05316592,0.047069786,0.044902227,0.011666212,0.099207933
20090601,0.0018,0.003249594,0.025396598,0.010083391,-0.022379031,0.051111066,-0.00426749,0.00176648,-0.048944144,0.040290842,-0.04661838
20090701,0.0017,0.093714015,0.058214662,0.035995392,0.088035896,0.036857021,0.072391969,0.061681232,0.13309165,0.091402177,0.0430131
20090801,0.0013,0.033329984,0.020579475,-0.024182346,0.128602411,0.001699178,0.030700274,0.008067998,0.019595567,0.023509092,0.003564793
20090901,0.0012,0.052099541,0.009009042,0.028199784,0.019303834,0.010516948,0.036840803,0.032563078,0.047346876,0.04466233,0.045999336
20091001,0.0005,-0.024852133,-0.023070506,-0.04848093,-0.060346968,-0.032095609,-0.017745677,0.010487156,-0.053284783,-0.003813493,0.031540895
20091101,0.0005,0.067314027,0.090075432,0.063858713,0.042268452,0.041692751,0.057374151,0.038241644,0.113471891,0.050034427,0.028516636
20091201,0.0005,0.043781361,0.019103645,0.045794531,-0.016445058,0.05214439,0.014751213,-0.00655535,0.014058081,0.055852991,-0.0098337
20100101,0.0007,-0.029481804,0.004223949,-0.093248452,-0.014606461,-0.051015966,-0.038233558,-0.012468039,-0.08663229,-0.084513467,-0.045075019
20100201,0.0012,0.052996082,0.000109989,-0.012890778,0.034098023,-0.01860864,0.028494515,0.02698611,0.042191764,0.040249878,0.01875437
20100301,0.0015,0.076887857,0.024437131,0.053990848,0.087727336,0.024194628,0.057963079,0.035730984,0.075814923,0.0675561,0.028785256
20100401,0.0016,0.060226473,-0.039042632,-0.013962109,0.01308619,0.024353008,0.013199765,-0.01558321,0.004154072,0.01761783,0.044293643
20100501,0.0015,-0.071425957,-0.069920722,-0.039384818,-0.092488718,-0.06121654,-0.083435634,-0.047348831,-0.096510448,-0.082731497,-0.118076414
20100601,0.0017,-0.097654869,-0.018614093,-0.00390474,-0.059669734,-0.010212502,-0.052046432,-0.028015162,-0.070997591,-0.062165992,-0.057909244
20100701,0.0014,0.077405307,0.012635008,0.079282598,0.066264429,0.073410475,0.068373583,0.058449495,0.122347153,0.071684023,0.079762241
20100801,0.0014,-0.04064974,-0.017885237,0.022518872,-0.079072322,0.008897805,-0.052549431,-0.015865035,-0.028466597,-0.071980122,-0.047130028
20100901,0.0016,0.110020617,0.08819372,0.079300242,0.0599144,0.025943085,0.087147033,0.054504862,0.075356381,0.121114199,0.091450963
20101001,0.0011,0.053051046,0.0204947,-0.001151879,0.013770273,0.009286635,0.034779508,0.028133403,0.065723717,0.064481058,0.055620502
20101101,0.0016,0.024072046,-0.031523559,-0.014332766,-0.008629947,-0.035871956,-0.004351749,-0.013496187,0.009327121,-0.01820822,0.051108239
20101201,0.0012,0.040011242,0.043361375,0.076331451,0.106377548,0.027469657,0.059868566,0.038945838,0.101655175,0.052309815,0.089410087
20110101,0.0014,-0.008797774,0.003344485,-0.042721822,0.02449129,0.012049694,0.022661853,-0.018775881,-0.005049901,0.036954672,0.068811041
20110201,0.0014,0.057766958,0.028401317,0.023345984,0.027548717,0.007638302,0.029539038,0.025279883,0.025037578,0.017719901,0.06772204
20110301,0.0009,-0.006347267,0.017048207,0.051862959,-0.026765994,-0.00203391,-0.002114989,0.011230412,0.016841353,-0.026571554,0.014879389
20110401,0.0004,0.038845691,0.06423146,0.00667917,-0.000996789,0.03822877,0.025671695,0.050509975,0.020532544,0.029212417,0.014780034
20110501,0.0004,-0.004588305,0.021541252,0.016400753,-0.033561653,0.016239342,-0.014657093,0.023670804,-0.029196765,-0.018123394,-0.046068773
20110601,0.0001,-0.00319836,-0.013065309,-0.01466921,-0.029144015,-0.004158409,-0.018257462,-0.027927543,-0.004493202,-0.026371919,-0.019299787
20110701,0.0009,-0.01469112,-0.039471446,-0.066696437,-0.036614304,-0.011056901,-0.021474425,-0.016487966,-0.033912075,0.015672537,0.006363274
20110801,0.0001,-0.054500103,-0.023814938,-0.013558757,-0.097148266,0.016830223,-0.05701727,0.003655397,-0.068773924,-0.061770692,-0.100351726
20110901,0.0001,-0.069406879,-0.045625566,-0.012224697,-0.11555357,-0.001228164,-0.071937095,-0.036956855,-0.165875692,-0.034170147,-0.12581928
20111001,0,0.118063365,0.056019294,0.017621519,0.141725412,0.035193502,0.10792876,0.042972266,0.175995639,0.114651326,0.169515946
20111101,0.0001,-0.017139514,-0.000823982,0.001208069,-0.06404893,-0.004242561,-0.003229448,0.019100269,-0.011565799,-0.025168985,0.005117359
20111201,0,0.01061109,0.029324463,0.037398178,0.016120608,0.030350805,0.008573146,0.024236881,-0.023657949,-0.009041073,-0.01063805
20120101,0.0005,0.058558585,0.030355841,-0.039362255,0.080922264,-0.036616008,0.042538526,-0.016987578,0.110575729,0.07591539,0.014823125
20120201,0.0008,0.045094172,0.011129406,0.037206375,0.048805051,-5.67E-05,0.040557815,0.03444099,-0.005401745,0.072061854,0.054547432
20120301,0.0006,0.047169828,0.043148495,0.01059138,0.072962815,0.008793346,0.031166224,0.031361781,0.002523077,0.053216022,-0.033712463
